Prompt,Category
Bought a subscription to Economic Times online.,Subscriptions
Bought a monthly metro pass for Chennai Metro.,Transportation
Ordered a pair of sneakers from Flipkart.,Shopping
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Paid security deposit for a new flat in Pune.,Rent
Refueled my car at an Indian Oil petrol pump.,Transportation
"Restocked my pantry with atta, dal, and spices from Reliance Fresh.",Groceries
Watched a play at Prithvi Theatre.,Entertainment
Refilled CNG in my vehicle at an HP station.,Transportation
Bought a subscription to Economic Times online.,Subscriptions
Bought a Delhi Metro smart card recharge.,Travel
Paid security deposit for a new flat in Pune.,Rent
Cleared municipal water tax online.,Utilities
Paid electricity bill via Paytm.,Utilities
Bought a Delhi Metro smart card recharge.,Travel
Cleared monthly rent through UPI transfer.,Rent
Paid for excess baggage at Mumbai Airport.,Travel
Paid for car parking at Phoenix Mall.,Transportation
Stopped by a local kirana shop for daily essentials.,Groceries
Picked up sportswear from Decathlon.,Shopping
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
"Restocked my pantry with atta, dal, and spices from Reliance Fresh.",Groceries
Paid PG accommodation fees via NoBroker.,Rent
Settled lease extension fees for my flat.,Rent
Ordered biryani from Paradise Biryani House.,Dining
Paid electricity bill via Paytm.,Utilities
Ordered a full South Indian thali from Swiggy.,Dining
Attended a stand-up comedy show in Mumbai.,Entertainment
Paid for an annual membership of Times of India e-paper.,Subscriptions
Went to an amusement park in Essel World.,Entertainment
Bought organic groceries from Nature’s Basket.,Groceries
Stopped by a local kirana shop for daily essentials.,Groceries
Had chai and samosas at a local tea stall.,Dining
Bought an AC chair car ticket from IRCTC.,Travel
Renewed my YouTube Premium plan.,Subscriptions
Purchased a laptop from Vijay Sales.,Shopping
Bought a silk saree from Nalli Silks.,Shopping
Bought medicines from Apollo Pharmacy.,Healthcare
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Had chai and samosas at a local tea stall.,Dining
Purchased a fitness band from Cult.fit.,Healthcare
Bought a gaming mouse from Flipkart.,Entertainment
Took an e-rickshaw ride in Delhi.,Transportation
Tried out street food at Sarafa Bazaar in Indore.,Dining
Booked an online doctor appointment via Practo.,Healthcare
Ordered a smartwatch from Croma online.,Shopping
Renewed my home inverter battery.,Utilities
"Restocked my pantry with atta, dal, and spices from Reliance Fresh.",Groceries
Attended a stand-up comedy show in Mumbai.,Entertainment
Bought a Delhi Metro smart card recharge.,Travel
Purchased health insurance from HDFC Ergo.,Healthcare
Watched a play at Prithvi Theatre.,Entertainment
Bought a gaming mouse from Flipkart.,Entertainment
Bought a Delhi Metro smart card recharge.,Travel
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
Reserved a flight ticket via MakeMyTrip.,Travel
Renewed my Tata Sky DTH subscription.,Subscriptions
Stopped by a local kirana shop for daily essentials.,Groceries
Refueled my car at an Indian Oil petrol pump.,Transportation
Paid security deposit for a new flat in Pune.,Rent
Made an early EMI payment for home loan.,Rent
Paid rent for my co-living space at Zolo.,Rent
Had a dosa and filter coffee at MTR Bangalore.,Dining
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Booked an Uber to the railway station.,Travel
Rented a self-drive Zoomcar for a weekend trip.,Travel
Paid the DTH recharge for Tata Sky.,Utilities
Cleared municipal water tax online.,Utilities
Bought medicines from Apollo Pharmacy.,Healthcare
Paid for a train sleeper class ticket on IRCTC.,Travel
Renewed Cult.fit gym membership for six months.,Subscriptions
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Renewed Cult.fit gym membership for six months.,Subscriptions
Cleared municipal water tax online.,Utilities
Had a masala dosa from Saravana Bhavan.,Dining
Paid for a taxi ride from Howrah to Salt Lake.,Transportation
Took a COVID-19 test at SRL Diagnostics.,Healthcare
Cleared monthly rent through UPI transfer.,Rent
Subscribed to Hotstar Premium for IPL streaming.,Entertainment
Got a Kurti from Biba for an event.,Shopping
Renewed Cult.fit gym membership for six months.,Subscriptions
Took an auto-rickshaw to the office.,Travel
Had chai and samosas at a local tea stall.,Dining
Paid consultation fees at AIIMS Delhi.,Healthcare
Paid security deposit for a new flat in Pune.,Rent
Paid rent for my co-living space at Zolo.,Rent
Renewed my Tata Sky DTH subscription.,Subscriptions
"Restocked my pantry with atta, dal, and spices from Reliance Fresh.",Groceries
Purchased a Kindle book from Amazon.,Entertainment
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Bought gold jewelry from Tanishq.,Shopping
Got eye checkup and glasses from Lenskart.,Healthcare
Renewed my YouTube Premium plan.,Subscriptions
Bought ethnic wear from Fabindia.,Shopping
Renewed my YouTube Premium plan.,Subscriptions
Booked an Uber to the railway station.,Travel
Went for a fine dining experience at Taj Vivanta.,Dining
Bought ethnic wear from Fabindia.,Shopping
Renewed my YouTube Premium plan.,Subscriptions
Bought an annual Amazon Prime membership.,Subscriptions
Refilled CNG in my vehicle at an HP station.,Transportation
Renewed my Tata Sky DTH subscription.,Subscriptions
"Picked up rice, lentils, and masalas from D-Mart.",Groceries
Cleared my Airtel broadband bill.,Utilities
Upgraded my Netflix plan to premium.,Subscriptions
Refueled my car at an Indian Oil petrol pump.,Transportation
Paid for a Zee5 yearly subscription.,Subscriptions
Settled the maintenance charges for my society.,Utilities
Booked an online doctor appointment via Practo.,Healthcare
Got a designer lehenga from Manyavar.,Shopping
Transferred rent for my Bangalore apartment.,Rent
Booked an auto ride via Rapido.,Transportation
Paid for car parking at Phoenix Mall.,Transportation
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Renewed my YouTube Premium plan.,Subscriptions
Had chai and samosas at a local tea stall.,Dining
Renewed my home inverter battery.,Utilities
Paid for excess baggage at Mumbai Airport.,Travel
Purchased a laptop from Vijay Sales.,Shopping
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Paid for a taxi ride from Howrah to Salt Lake.,Transportation
Renewed my YouTube Premium plan.,Subscriptions
Tried out street food at Sarafa Bazaar in Indore.,Dining
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Bought a silk saree from Nalli Silks.,Shopping
Settled the maintenance charges for my society.,Utilities
Hired an Ola cab for an outstation trip.,Travel
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Bought a monthly metro pass for Chennai Metro.,Transportation
Bought a Spotify Premium annual plan.,Entertainment
Cleared my Airtel broadband bill.,Utilities
Bought a Delhi Metro smart card recharge.,Travel
Cleared my Airtel broadband bill.,Utilities
Renewed Cult.fit gym membership for six months.,Subscriptions
Got eye checkup and glasses from Lenskart.,Healthcare
Booked a Volvo bus to Bangalore via RedBus.,Travel
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Attended a stand-up comedy show in Mumbai.,Entertainment
Tried out street food at Sarafa Bazaar in Indore.,Dining
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
Signed up for a Udemy course on Python.,Subscriptions
Paid security deposit for a new flat in Pune.,Rent
Refilled CNG in my vehicle at an HP station.,Transportation
Cleared monthly rent through UPI transfer.,Rent
Signed up for a Udemy course on Python.,Subscriptions
Subscribed to Hotstar Premium for IPL streaming.,Entertainment
Got eye checkup and glasses from Lenskart.,Healthcare
Ordered grocery essentials from Jiomart online.,Groceries
Transferred rent for my Bangalore apartment.,Rent
Bought a gaming mouse from Flipkart.,Entertainment
Paid for an annual membership of Times of India e-paper.,Subscriptions
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
Paid the BSNL landline bill.,Utilities
Paid for a taxi ride from Howrah to Salt Lake.,Transportation
Paid the DTH recharge for Tata Sky.,Utilities
Booked an auto ride via Rapido.,Transportation
Bought an annual Amazon Prime membership.,Subscriptions
Paid security deposit for a new flat in Pune.,Rent
Paid the BSNL landline bill.,Utilities
Purchased a laptop from Vijay Sales.,Shopping
Bought a Spotify Premium annual plan.,Entertainment
Bought a monthly metro pass for Chennai Metro.,Transportation
Got a Kurti from Biba for an event.,Shopping
Made an early EMI payment for home loan.,Rent
Cleared my Airtel broadband bill.,Utilities
Had a dental cleaning session at Clove Dental.,Healthcare
Signed up for a Udemy course on Python.,Subscriptions
Transferred rent to the landlord via Google Pay.,Rent
Paid the BSNL landline bill.,Utilities
Bought ethnic wear from Fabindia.,Shopping
Took an e-rickshaw ride in Delhi.,Transportation
Renewed my YouTube Premium plan.,Subscriptions
Booked an online doctor appointment via Practo.,Healthcare
Paid for excess baggage at Mumbai Airport.,Travel
Paid for a Zee5 yearly subscription.,Subscriptions
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Paid for car parking at Phoenix Mall.,Transportation
Paid my LPG gas bill for Indane.,Utilities
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Ordered chaat and golgappa from a famous local vendor.,Dining
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Bought an annual Amazon Prime membership.,Subscriptions
Bought ethnic wear from Fabindia.,Shopping
Transferred rent to the landlord via Google Pay.,Rent
Transferred rent to the landlord via Google Pay.,Rent
Recharged Jio mobile plan for the month.,Utilities
Attended a stand-up comedy show in Mumbai.,Entertainment
Recharged my FASTag for highway travel.,Transportation
Paid for excess baggage at Mumbai Airport.,Travel
Bought a Delhi Metro smart card recharge.,Travel
Purchased health insurance from HDFC Ergo.,Healthcare
Upgraded my Netflix plan to premium.,Subscriptions
Renewed my home inverter battery.,Utilities
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Got a Kurti from Biba for an event.,Shopping
Renewed my home inverter battery.,Utilities
Purchased a Kindle book from Amazon.,Entertainment
Settled rental agreement paperwork costs.,Rent
Signed up for a Udemy course on Python.,Subscriptions
Purchased a laptop from Vijay Sales.,Shopping
Booked tickets for a Bollywood movie on BookMyShow.,Entertainment
Renewed my YouTube Premium plan.,Subscriptions
Ordered grocery essentials from Jiomart online.,Groceries
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Bought a gaming mouse from Flipkart.,Entertainment
Got a designer lehenga from Manyavar.,Shopping
Purchased a fitness band from Cult.fit.,Healthcare
Attended a music concert at NSCI Dome.,Entertainment
Paid rent for my co-living space at Zolo.,Rent
Paid my LPG gas bill for Indane.,Utilities
Paid for a train sleeper class ticket on IRCTC.,Travel
Attended a stand-up comedy show in Mumbai.,Entertainment
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Purchased a new smartphone during the Amazon Great Indian Sale.,Shopping
Paid additional maintenance charges for my rented house.,Rent
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
Reserved a flight ticket via MakeMyTrip.,Travel
Ordered a pair of sneakers from Flipkart.,Shopping
Renewed my home inverter battery.,Utilities
Purchased a Kindle book from Amazon.,Entertainment
Got eye checkup and glasses from Lenskart.,Healthcare
Paid rent for my co-living space at Zolo.,Rent
Renewed Cult.fit gym membership for six months.,Subscriptions
Got eye checkup and glasses from Lenskart.,Healthcare
Stopped by a local kirana shop for daily essentials.,Groceries
Paid consultation fees at AIIMS Delhi.,Healthcare
Ordered a full South Indian thali from Swiggy.,Dining
Had chai and samosas at a local tea stall.,Dining
Booked a Volvo bus to Bangalore via RedBus.,Travel
Picked up sportswear from Decathlon.,Shopping
Paid additional maintenance charges for my rented house.,Rent
Refilled CNG in my vehicle at an HP station.,Transportation
Watched a play at Prithvi Theatre.,Entertainment
Transferred rent to the landlord via Google Pay.,Rent
Paid for car parking at Phoenix Mall.,Transportation
Ordered a smartwatch from Croma online.,Shopping
Got eye checkup and glasses from Lenskart.,Healthcare
Tried out street food at Sarafa Bazaar in Indore.,Dining
Transferred rent for my Bangalore apartment.,Rent
Bought a monthly metro pass for Chennai Metro.,Transportation
Paid for car parking at Phoenix Mall.,Transportation
Ordered a full South Indian thali from Swiggy.,Dining
Bought an AC chair car ticket from IRCTC.,Travel
Ordered a full South Indian thali from Swiggy.,Dining
Tried out street food at Sarafa Bazaar in Indore.,Dining
Ordered biryani from Paradise Biryani House.,Dining
Paid for a trekking adventure in Himachal.,Entertainment
Had a dental cleaning session at Clove Dental.,Healthcare
Signed up for a Udemy course on Python.,Subscriptions
Paid electricity bill via Paytm.,Utilities
Watched a play at Prithvi Theatre.,Entertainment
Took a COVID-19 test at SRL Diagnostics.,Healthcare
Renewed Cult.fit gym membership for six months.,Subscriptions
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Paid for car parking at Phoenix Mall.,Transportation
Paid for a taxi ride from Howrah to Salt Lake.,Transportation
Bought a Spotify Premium annual plan.,Entertainment
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
